epoch;acc;loss;val_acc;val_loss
0;0.6895889639854431;1.0191079378128052;0.7170626521110535;0.842499852180481
1;0.7333933115005493;0.7885075211524963;0.7365010976791382;0.7499337792396545
2;0.7513351440429688;0.7196823358535767;0.747060239315033;0.6996666789054871
3;0.769396960735321;0.6729570627212524;0.7338612675666809;0.7291024923324585
4;0.7705970406532288;0.6554120779037476;0.7564194798469543;0.658937394618988
5;0.7757575511932373;0.6431515216827393;0.7480201721191406;0.6971530318260193
6;0.7800180315971375;0.6319672465324402;0.7777777910232544;0.6195842027664185
7;0.782718300819397;0.6237295866012573;0.7780177593231201;0.630102813243866
8;0.7835583686828613;0.6159678101539612;0.7556995153427124;0.6998230218887329
9;0.7834983468055725;0.6096441149711609;0.7760978937149048;0.619731605052948
10;0.787158727645874;0.607810914516449;0.7686585187911987;0.6423236727714539
11;0.7863786220550537;0.6114580631256104;0.76553875207901;0.6535159945487976
12;0.7869787216186523;0.6052384972572327;0.7808975577354431;0.6227584481239319
13;0.7878187894821167;0.6076561212539673;0.7751379609107971;0.6245137453079224
14;0.7892588973045349;0.6053646206855774;0.7571394443511963;0.6694600582122803
15;0.7918391823768616;0.6004627346992493;0.7461003065109253;0.6852971911430359
16;0.7884188294410706;0.6056243777275085;0.7676985859870911;0.636416494846344
17;0.7914791703224182;0.6004410982131958;0.7852171659469604;0.6101404428482056
18;0.7903990149497986;0.599101722240448;0.7676985859870911;0.6483524441719055
19;0.7921392321586609;0.6053184270858765;0.7564194798469543;0.6828126907348633
