epoch;acc;loss;val_acc;val_loss
0;0.6011401414871216;1.939022183418274;0.7163426876068115;0.9211604595184326
1;0.7326132655143738;0.871812105178833;0.7751379609107971;0.7623937129974365
2;0.78523850440979;0.7607845664024353;0.7890568971633911;0.6953508853912354
3;0.8065406680107117;0.696366548538208;0.7993760704994202;0.6569532155990601
4;0.8276627659797668;0.6451290845870972;0.803215742111206;0.6346467733383179
5;0.8410441279411316;0.6101076602935791;0.8017758727073669;0.6255083680152893
6;0.8589859008789062;0.5725833177566528;0.8094552159309387;0.6181450486183167
7;0.8671467304229736;0.539818525314331;0.8137748837471008;0.6156069040298462
8;0.8816681504249573;0.5123090147972107;0.8082553148269653;0.6158266663551331
9;0.8946294784545898;0.48201557993888855;0.8068154454231262;0.6204161047935486
10;0.9020102024078369;0.45790597796440125;0.8080153465270996;0.6222857236862183
11;0.9155715703964233;0.42837053537368774;0.8137748837471008;0.6291086077690125
12;0.9236123561859131;0.4108674228191376;0.8104151487350464;0.6348772644996643
13;0.931053102016449;0.3883928954601288;0.811375081539154;0.6451756358146667
14;0.9353735446929932;0.3746483325958252;0.8176146149635315;0.6326894164085388
15;0.9392739534378052;0.3593602180480957;0.812095046043396;0.6709489822387695
16;0.9447344541549683;0.343452513217926;0.812095046043396;0.6653887629508972
17;0.9491149187088013;0.32693251967430115;0.8168946504592896;0.6761013269424438
18;0.951275110244751;0.31638529896736145;0.8154547810554504;0.683474063873291
19;0.9549354910850525;0.3055390417575836;0.8132949471473694;0.6801786422729492
