epoch;loss;val_loss
0;0.09526287764310837;0.09256860613822937
1;0.09314144402742386;0.09121682494878769
2;0.09171848744153976;0.0901414006948471
3;0.09063929319381714;0.08921708166599274
4;0.08952531963586807;0.08794672787189484
5;0.08862310647964478;0.08737605810165405
6;0.08800413459539413;0.08698458224534988
7;0.08756966888904572;0.0866241380572319
8;0.08717519789934158;0.0861777737736702
9;0.08684208244085312;0.08586535602807999
10;0.08656667172908783;0.08549128472805023
11;0.08631766587495804;0.08509925752878189
12;0.08608611673116684;0.08506457507610321
13;0.08587511628866196;0.0849161148071289
14;0.08570187538862228;0.08479010313749313
15;0.08553218841552734;0.08462923765182495
16;0.08539380133152008;0.08467427641153336
17;0.08524336665868759;0.08443033695220947
18;0.08509088307619095;0.08434958755970001
19;0.08495603501796722;0.0839986503124237
